url,address,building_area,surface_area,bedroom,bathroom,parking_area,tenure,price
https://www.rumah123.com/properti/bandung/hos8934687/,"Cimahi Utara, Cimahi",76.0,120.0,3,2,1,SHM - Sertifikat Hak Milik,1050000000.0
https://www.rumah123.com/properti/bandung-barat/hos7391447/,"Cisarua, Bandung Barat",40.0,84.0,3,2,0,SHM - Sertifikat Hak Milik,500000000.0
https://www.rumah123.com/properti/bandung/hos9003650/,"Cimahi Utara, Cimahi",50.0,65.0,2,1,0,SHM - Sertifikat Hak Milik,450000000.0
https://www.rumah123.com/properti/bandung/hos8764380/,"Sariwangi, Bandung Barat",55.0,64.0,2,1,1,SHM - Sertifikat Hak Milik,700000000.0
https://www.rumah123.com/properti/bandung/hos8279355/,"Sariwangi, Bandung Barat",60.0,72.0,3,2,1,SHM - Sertifikat Hak Milik,500000000.0
https://www.rumah123.com/properti/cimahi/hos9009448/,"Cimahi Utara, Cimahi",38.0,72.0,2,1,1,SHM - Sertifikat Hak Milik,425000000.0
https://www.rumah123.com/properti/bandung/hos8165420/,"Cimahi Tengah, Cimahi",70.0,85.0,4,3,0,SHM - Sertifikat Hak Milik,760000000.0
https://www.rumah123.com/properti/bandung/hos5088797/,"Cimahi Utara, Cimahi",98.0,120.0,3,1,1,SHM - Sertifikat Hak Milik,1200000000.0
https://www.rumah123.com/properti/bandung-barat/hos8041703/,"Parongpong, Bandung Barat",320.0,360.0,5,4,0,SHM - Sertifikat Hak Milik,2500000000.0
https://www.rumah123.com/properti/bandung/hos8101586/,"Setra Duta, Bandung",180.0,114.0,4,3,1,SHM - Sertifikat Hak Milik,2988000000.0
https://www.rumah123.com/properti/cimahi/hos7979368/,"Cimahi Utara, Cimahi",220.0,87.0,3,3,0,SHM - Sertifikat Hak Milik,1250000000.0
https://www.rumah123.com/properti/bandung/hos8506682/,"Cihanjuang, Bandung Barat",100.0,120.0,2,1,0,SHM - Sertifikat Hak Milik,800000000.0
https://www.rumah123.com/properti/bandung/hos5989108/,"Cihanjuang, Bandung Barat",30.0,53.0,2,1,0,SHM - Sertifikat Hak Milik,289000000.0
https://www.rumah123.com/properti/bandung/hos8426809/,"Gunung Batu, Bandung",200.0,650.0,3,2,0,SHM - Sertifikat Hak Milik,7200000000.0
https://www.rumah123.com/properti/bandung/hos8767638/,"Sariwangi, Bandung Barat",45.0,72.0,2,1,1,SHM - Sertifikat Hak Milik,696000000.0
https://www.rumah123.com/properti/bandung/hos8772712/,"Cihanjuang, Bandung Barat",38.0,60.0,2,1,1,SHM - Sertifikat Hak Milik,438000000.0
https://www.rumah123.com/properti/cimahi/hos8605518/,"Cimahi Tengah, Cimahi",300.0,1062.0,2,2,1,Tidak Ada Penjelasan,2490000000.0
https://www.rumah123.com/properti/cimahi/hos7834103/,"Cimahi Utara, Cimahi",80.0,139.0,3,2,0,SHM - Sertifikat Hak Milik,600000000.0
https://www.rumah123.com/properti/cimahi/hos8758317/,"Cimahi Utara, Cimahi",50.0,60.0,3,2,0,SHM - Sertifikat Hak Milik,395000000.0
https://www.rumah123.com/properti/cimahi/hos7895514/,"Cimahi Tengah, Cimahi",110.0,100.0,6,2,0,SHM - Sertifikat Hak Milik,450000000.0
https://www.rumah123.com/properti/cimahi/hos8729343/,"Cimahi Utara, Cimahi",30.0,50.0,2,1,1,"Lainnya (PPJB,Girik,Adat,dll)",175000000.0
https://www.rumah123.com/properti/bandung/hos8256367/,"Cimahi Utara, Cimahi",220.0,252.0,3,2,0,SHM - Sertifikat Hak Milik,2200000000.0
https://www.rumah123.com/properti/cimahi/hos8498818/,"Cimahi Utara, Cimahi",130.0,120.0,2,1,0,SHM - Sertifikat Hak Milik,1200000000.0
https://www.rumah123.com/properti/bandung/hos8498864/,"Cimindi, Bandung",80.0,130.0,2,2,0,Tidak Ada Penjelasan,900000000.0
https://www.rumah123.com/properti/bandung/hos9134543/,"Ngamprah, Bandung Barat",38.0,72.0,2,1,1,SHM - Sertifikat Hak Milik,456300000.0
https://www.rumah123.com/properti/bandung/hos8612445/,"Cihanjuang, Bandung Barat",85.0,98.0,2,1,0,SHM - Sertifikat Hak Milik,480000000.0
https://www.rumah123.com/properti/bandung-barat/hos3354287/,"Cisarua, Bandung Barat",40.0,120.0,2,2,0,SHM - Sertifikat Hak Milik,240000000.0
https://www.rumah123.com/properti/bandung/hos9014382/,"Cimahi Utara, Cimahi",150.0,120.0,3,1,0,SHM - Sertifikat Hak Milik,1100000000.0
https://www.rumah123.com/properti/cimahi/hos8603748/,"Cimahi Utara, Cimahi",110.0,179.0,4,3,4,SHM - Sertifikat Hak Milik,890000000.0
https://www.rumah123.com/properti/bandung/hos8582522/,"Cimahi Selatan, Cimahi",123.0,54.0,4,3,1,SHM - Sertifikat Hak Milik,850000000.0
https://www.rumah123.com/properti/cimahi/hos8791878/,"Cimahi Utara, Cimahi",120.0,106.0,3,3,0,HGB - Hak Guna Bangunan,1650000000.0
https://www.rumah123.com/properti/cimahi/hos9081836/,"Cimahi Utara, Cimahi",214.0,184.0,5,2,2,SHM - Sertifikat Hak Milik,1800000000.0
https://www.rumah123.com/properti/cimahi/hos8754814/,"Cimahi Utara, Cimahi",300.0,189.0,6,3,1,SHM - Sertifikat Hak Milik,2300000000.0
https://www.rumah123.com/properti/bandung/hos8801743/,"Cihanjuang, Bandung Barat",50.0,60.0,2,2,0,SHM - Sertifikat Hak Milik,535000000.0
https://www.rumah123.com/properti/bandung/hos9016830/,"Gunung Batu, Bandung",100.0,78.0,4,2,0,SHM - Sertifikat Hak Milik,1000000000.0
https://www.rumah123.com/properti/bandung/hos8616156/,"Ngamprah, Bandung Barat",88.0,90.0,2,1,1,SHM - Sertifikat Hak Milik,570000000.0
https://www.rumah123.com/properti/bandung-barat/hos8468714/,"Parongpong, Bandung Barat",55.0,80.0,2,2,1,SHM - Sertifikat Hak Milik,891000000.0
https://www.rumah123.com/properti/cimahi/hos5556038/,"Cimahi Utara, Cimahi",60.0,65.0,3,2,1,SHM - Sertifikat Hak Milik,630000000.0
https://www.rumah123.com/properti/bandung/hos8063591/,"Cimahi Utara, Cimahi",45.0,75.0,2,1,0,SHM - Sertifikat Hak Milik,600000000.0
https://www.rumah123.com/properti/bandung/hos4886359/,"Setra Duta, Bandung",200.0,85.0,2,3,2,SHM - Sertifikat Hak Milik,2350000000.0
https://www.rumah123.com/properti/cimahi/hos8770540/,"Cimahi Utara, Cimahi",70.0,76.0,2,1,1,SHM - Sertifikat Hak Milik,376000000.0
https://www.rumah123.com/properti/cimahi/hos8646550/,"Cimahi Tengah, Cimahi",75.0,105.0,3,1,1,SHM - Sertifikat Hak Milik,420500000.0
https://www.rumah123.com/properti/cimahi/hos8434266/,"Cimahi Utara, Cimahi",280.0,260.0,4,3,2,SHM - Sertifikat Hak Milik,3500000000.0
https://www.rumah123.com/properti/cimahi/hos9133497/,"Cimahi Utara, Cimahi",38.0,120.0,2,1,1,SHM - Sertifikat Hak Milik,850000000.0
https://www.rumah123.com/properti/bandung/hos8552334/,"Cimahi Utara, Cimahi",67.0,120.0,3,2,1,SHM - Sertifikat Hak Milik,1200000000.0
https://www.rumah123.com/properti/cimahi/hos8306596/,"Cimahi Selatan, Cimahi",180.0,208.0,5,2,1,SHM - Sertifikat Hak Milik,2300000000.0
https://www.rumah123.com/properti/cimahi/hos8801823/,"Cimahi Tengah, Cimahi",220.0,82.0,3,2,1,SHM - Sertifikat Hak Milik,1400000000.0
https://www.rumah123.com/properti/cimahi/hos8641774/,"Cimahi Selatan, Cimahi",140.0,170.0,6,3,1,SHM - Sertifikat Hak Milik,1000000000.0
https://www.rumah123.com/properti/cimahi/hos8764222/,"Cimahi Utara, Cimahi",120.0,124.0,4,2,1,SHM - Sertifikat Hak Milik,950000000.0
https://www.rumah123.com/properti/cimahi/hos9134725/,"Cimahi Utara, Cimahi",85.0,125.0,3,3,1,SHM - Sertifikat Hak Milik,900000000.0
https://www.rumah123.com/properti/cimahi/hos8472297/,"Cimahi Utara, Cimahi",100.0,123.0,4,2,1,SHM - Sertifikat Hak Milik,1300000000.0
https://www.rumah123.com/properti/cimahi/hos8757328/,"Cimahi Utara, Cimahi",44.0,121.0,2,2,1,SHM - Sertifikat Hak Milik,250000000.0
https://www.rumah123.com/properti/cimahi/hos8531640/,"Cimahi Utara, Cimahi",45.0,60.0,2,1,0,SHM - Sertifikat Hak Milik,425000000.0
https://www.rumah123.com/properti/bandung/hos8501542/,"Parongpong, Bandung Barat",30.0,67.0,2,1,0,SHM - Sertifikat Hak Milik,553000000.0
https://www.rumah123.com/properti/bandung/hos4303143/,"Lembang, Bandung Barat",60.0,94.0,2,2,0,SHM - Sertifikat Hak Milik,690000000.0
https://www.rumah123.com/properti/cimahi/hos9094498/,"Cimahi Tengah, Cimahi",220.0,182.0,3,2,1,SHM - Sertifikat Hak Milik,1600000000.0
https://www.rumah123.com/properti/bandung-barat/hos9022012/,"Cisarua, Bandung Barat",300.0,1450.0,5,3,0,SHM - Sertifikat Hak Milik,3000000000.0
https://www.rumah123.com/properti/cimahi/hos9059977/,"Cimahi Utara, Cimahi",50.0,60.0,2,2,0,SHM - Sertifikat Hak Milik,499000000.0
https://www.rumah123.com/properti/bandung/hos9134343/,"Parongpong, Bandung Barat",520.0,700.0,6,5,8,SHM - Sertifikat Hak Milik,7500000000.0
https://www.rumah123.com/properti/bandung-barat/hos8608902/,"Parongpong, Bandung Barat",80.0,75.0,2,2,1,SHM - Sertifikat Hak Milik,695000000.0
https://www.rumah123.com/properti/cimahi/hos8434299/,"Cimahi Utara, Cimahi",146.0,70.0,3,2,1,SHM - Sertifikat Hak Milik,650000000.0
